600:6001:ee3::,600:6001:ee3:ffff:ffff:ffff:ffff:ffff,US
605:a401:878b::,605:a401:878b:ffff:ffff:ffff:ffff:ffff,US
2001:4:112::,2001:4:112:ffff:ffff:ffff:ffff:ffff,US
2001:200::,2001:200:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:218::,2001:218:21ff:ffff:ffff:ffff:ffff:ffff,US
2001:218:2200::,2001:218:22ff:ffff:ffff:ffff:ffff:ffff,JP
2001:218:2300::,2001:218:3003:ffff:ffff:ffff:ffff:ffff,US
2001:218:3005::,2001:218:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:240::,2001:240:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:250::,2001:252:ffff:ffff:ffff:ffff:ffff:ffff,CN
2001:254::,2001:254:ffff:ffff:ffff:ffff:ffff:ffff,CN
2001:256:100::,2001:256:100:ffff:ffff:ffff:ffff:ffff,CN
2001:258::,2001:258:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:260::,2001:260:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:268::,2001:268:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:270::,2001:270:fff:ffff:ffff:ffff:ffff:ffff,KR
2001:278::,2001:278:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:288::,2001:288:ffff:ffff:ffff:ffff:ffff:ffff,TW
2001:290::,2001:290:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:298::,2001:298:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2a8::,2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2b8:bc::,2001:2b8:bc:ffff:ffff:ffff:ffff:ffff,KR
2001:2b8:e6::,2001:2b8:e6:ffff:ffff:ffff:ffff:ffff,KR
2001:2c0::,2001:2c0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2d8::,2001:2d8:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:2e0::,2001:2e0:ffff:ffff:ffff:ffff:ffff:ffff,HK
2001:2e8::,2001:2e8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2f0::,2001:2f0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2f8::,2001:2f8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:300::,2001:300:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:308::,2001:308:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:310::,2001:310:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:318::,2001:318:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:320::,2001:320:ffff:ffff:ffff:ffff:ffff:ffff,KR
